證券代碼	簡稱	年月日	流通在外股數(千股)	市值(百萬元)	收盤價(元)
5880   	合庫金       	20111201	     6596825	      126329	   11.41
5880   	合庫金       	20111202	     6596825	      126988	   11.47
5880   	合庫金       	20111205	     6596825	      124679	   11.26
5880   	合庫金       	20111206	     6596825	      121711	   10.99
5880   	合庫金       	20111207	     6596825	      121711	   10.99
5880   	合庫金       	20111208	     6596825	      119072	   10.75
5880   	合庫金       	20111209	     6596825	      119732	   10.81
5880   	合庫金       	20111212	     6596825	      119072	   10.75
5880   	合庫金       	20111213	     6596825	      117423	   10.60
5880   	合庫金       	20111214	     6596825	      118413	   10.69
5880   	合庫金       	20111215	     6596825	      115774	   10.45
5880   	合庫金       	20111216	     6596825	      115444	   10.42
5880   	合庫金       	20111219	     6596825	      111486	   10.07
5880   	合庫金       	20111220	     6596825	      112475	   10.16
5880   	合庫金       	20111221	     6596825	      120062	   10.84
5880   	合庫金       	20111222	     6596825	      119402	   10.78
5880   	合庫金       	20111223	     6596825	      120721	   10.90
5880   	合庫金       	20111226	     6596825	      118742	   10.72
5880   	合庫金       	20111227	     6596825	      120062	   10.84
5880   	合庫金       	20111228	     6596825	      120062	   10.84
5880   	合庫金       	20111229	     6596825	      119402	   10.78
5880   	合庫金       	20111230	     6596825	      120062	   10.84
5880   	合庫金       	20120102	     6596825	      116763	   10.54
5880   	合庫金       	20120103	     6596825	      118742	   10.72
5880   	合庫金       	20120104	     6596825	      117423	   10.60
5880   	合庫金       	20120105	     6596825	      119072	   10.75
5880   	合庫金       	20120106	     6596825	      118083	   10.66
5880   	合庫金       	20120109	     6596825	      116104	   10.48
5880   	合庫金       	20120110	     6596825	      117423	   10.60
5880   	合庫金       	20120111	     6596825	      117753	   10.63
5880   	合庫金       	20120112	     6596825	      117753	   10.63
5880   	合庫金       	20120113	     6596825	      117093	   10.57
5880   	合庫金       	20120116	     6596825	      115774	   10.45
5880   	合庫金       	20120117	     6596825	      117753	   10.63
5880   	合庫金       	20120118	     6596825	      118083	   10.66
5880   	合庫金       	20120130	     6596825	      119732	   10.81
5880   	合庫金       	20120131	     6596825	      122041	   11.02
5880   	合庫金       	20120201	     6596825	      123360	   11.14
5880   	合庫金       	20120202	     6596825	      124350	   11.23
5880   	合庫金       	20120203	     6596825	      124020	   11.20
5880   	合庫金       	20120204	     6596825	      126988	   11.47
5880   	合庫金       	20120206	     6596825	      125339	   11.32
5880   	合庫金       	20120207	     6596825	      125339	   11.32
5880   	合庫金       	20120208	     6596825	      126988	   11.47
5880   	合庫金       	20120209	     6596825	      126659	   11.44
5880   	合庫金       	20120210	     6596825	      126659	   11.44
5880   	合庫金       	20120213	     6596825	      128308	   11.59
5880   	合庫金       	20120214	     6596825	      126988	   11.47
5880   	合庫金       	20120215	     6596825	      127978	   11.56
5880   	合庫金       	20120216	     6596825	      126329	   11.41
5880   	合庫金       	20120217	     6596825	      126988	   11.47
5880   	合庫金       	20120220	     6596825	      125999	   11.38
5880   	合庫金       	20120221	     6596825	      125009	   11.29
5880   	合庫金       	20120222	     6596825	      125669	   11.35
5880   	合庫金       	20120223	     6596825	      124679	   11.26
5880   	合庫金       	20120224	     6596825	      124020	   11.20
5880   	合庫金       	20120229	     6596825	      127318	   11.50
5880   	合庫金       	20120301	     6596825	      126329	   11.41
5880   	合庫金       	20120302	     6596825	      126988	   11.47
5880   	合庫金       	20120303	     6596825	      125999	   11.38
5880   	合庫金       	20120305	     6596825	      125009	   11.29
5880   	合庫金       	20120306	     6596825	      124020	   11.20
5880   	合庫金       	20120307	     6596825	      123030	   11.11
5880   	合庫金       	20120308	     6596825	      125339	   11.32
5880   	合庫金       	20120309	     6596825	      123690	   11.17
5880   	合庫金       	20120312	     6596825	      123030	   11.11
5880   	合庫金       	20120313	     6596825	      125339	   11.32
5880   	合庫金       	20120314	     6596825	      125999	   11.38
5880   	合庫金       	20120315	     6596825	      125999	   11.38
5880   	合庫金       	20120316	     6596825	      123690	   11.17
5880   	合庫金       	20120319	     6596825	      125339	   11.32
5880   	合庫金       	20120320	     6596825	      124679	   11.26
5880   	合庫金       	20120321	     6596825	      124020	   11.20
5880   	合庫金       	20120322	     6596825	      125339	   11.32
5880   	合庫金       	20120323	     6596825	      125669	   11.35
5880   	合庫金       	20120326	     6596825	      123360	   11.14
5880   	合庫金       	20120327	     6596825	      124350	   11.23
5880   	合庫金       	20120328	     6596825	      124020	   11.20
5880   	合庫金       	20120329	     6596825	      120392	   10.87
5880   	合庫金       	20120330	     6596825	      122041	   11.02
5880   	合庫金       	20120402	     6596825	      120392	   10.87
5880   	合庫金       	20120403	     6596825	      120721	   10.90
5880   	合庫金       	20120405	     6596825	      117753	   10.63
5880   	合庫金       	20120406	     6596825	      117753	   10.63
5880   	合庫金       	20120409	     6596825	      116104	   10.48
5880   	合庫金       	20120410	     6596825	      115774	   10.45
5880   	合庫金       	20120411	     6596825	      114784	   10.36
5880   	合庫金       	20120412	     6596825	      114454	   10.33
5880   	合庫金       	20120413	     6596825	      116433	   10.51
5880   	合庫金       	20120416	     6596825	      114454	   10.33
5880   	合庫金       	20120417	     6596825	      113135	   10.22
5880   	合庫金       	20120418	     6596825	      113135	   10.22
5880   	合庫金       	20120419	     6596825	      114454	   10.33
5880   	合庫金       	20120420	     6596825	      113795	   10.28
5880   	合庫金       	20120423	     6596825	      115774	   10.45
5880   	合庫金       	20120424	     6596825	      116104	   10.48
5880   	合庫金       	20120425	     6596825	      116104	   10.48
5880   	合庫金       	20120426	     6596825	      116763	   10.54
5880   	合庫金       	20120427	     6596825	      117093	   10.57
5880   	合庫金       	20120430	     6596825	      118413	   10.69
5880   	合庫金       	20120502	     6596825	      120721	   10.90
5880   	合庫金       	20120503	     6596825	      120392	   10.87
5880   	合庫金       	20120504	     6596825	      120721	   10.90
5880   	合庫金       	20120507	     6596825	      118083	   10.66
5880   	合庫金       	20120508	     6596825	      117093	   10.57
5880   	合庫金       	20120509	     6596825	      115774	   10.45
5880   	合庫金       	20120510	     6596825	      117423	   10.60
5880   	合庫金       	20120511	     6596825	      116104	   10.48
5880   	合庫金       	20120514	     6596825	      116433	   10.51
5880   	合庫金       	20120515	     6596825	      115774	   10.45
5880   	合庫金       	20120516	     6596825	      113465	   10.25
5880   	合庫金       	20120517	     6596825	      115114	   10.39
5880   	合庫金       	20120518	     6596825	      112805	   10.19
5880   	合庫金       	20120521	     6596825	      114454	   10.33
5880   	合庫金       	20120522	     6596825	      115114	   10.39
5880   	合庫金       	20120523	     6596825	      113465	   10.25
5880   	合庫金       	20120524	     6596825	      113795	   10.28
5880   	合庫金       	20120525	     6596825	      113135	   10.22
5880   	合庫金       	20120528	     6596825	      114454	   10.33
5880   	合庫金       	20120529	     6596825	      116433	   10.51
5880   	合庫金       	20120530	     6596825	      114454	   10.33
5880   	合庫金       	20120531	     6596825	      116104	   10.48
5880   	合庫金       	20120601	     6596825	      113465	   10.25
5880   	合庫金       	20120604	     6596825	      111816	   10.10
5880   	合庫金       	20120605	     6596825	      113795	   10.28
5880   	合庫金       	20120606	     6596825	      113465	   10.25
5880   	合庫金       	20120607	     6596825	      114125	   10.31
5880   	合庫金       	20120608	     6596825	      113795	   10.28
5880   	合庫金       	20120611	     6596825	      114784	   10.36
5880   	合庫金       	20120612	     6596825	      113465	   10.25
5880   	合庫金       	20120613	     6596825	      112805	   10.19
5880   	合庫金       	20120614	     6596825	      114125	   10.31
5880   	合庫金       	20120615	     6596825	      115444	   10.42
5880   	合庫金       	20120618	     6596825	      116104	   10.48
5880   	合庫金       	20120619	     6596825	      115114	   10.39
5880   	合庫金       	20120620	     6596825	      116104	   10.48
5880   	合庫金       	20120621	     6596825	      115114	   10.39
5880   	合庫金       	20120622	     6596825	      113135	   10.22
5880   	合庫金       	20120625	     6596825	      112475	   10.16
5880   	合庫金       	20120626	     6596825	      112805	   10.19
5880   	合庫金       	20120627	     6596825	      114125	   10.31
5880   	合庫金       	20120628	     6596825	      112805	   10.19
5880   	合庫金       	20120629	     6596825	      116104	   10.48
5880   	合庫金       	20120702	     6596825	      116104	   10.48
5880   	合庫金       	20120703	     6596825	      116104	   10.48
5880   	合庫金       	20120704	     6596825	      116763	   10.54
5880   	合庫金       	20120705	     6596825	      117093	   10.57
5880   	合庫金       	20120706	     6596825	      117423	   10.60
5880   	合庫金       	20120709	     6596825	      116763	   10.54
5880   	合庫金       	20120710	     6596825	      116763	   10.54
5880   	合庫金       	20120711	     6596825	      116763	   10.54
5880   	合庫金       	20120712	     6596825	      115774	   10.45
5880   	合庫金       	20120713	     6596825	      116433	   10.51
5880   	合庫金       	20120716	     6596825	      117423	   10.60
5880   	合庫金       	20120717	     6596825	      118742	   10.72
5880   	合庫金       	20120718	     6596825	      117093	   10.57
5880   	合庫金       	20120719	     6596825	      117753	   10.63
5880   	合庫金       	20120720	     6596825	      118413	   10.69
5880   	合庫金       	20120723	     6596825	      116763	   10.54
5880   	合庫金       	20120724	     6596825	      116763	   10.54
5880   	合庫金       	20120725	     6596825	      116763	   10.54
5880   	合庫金       	20120726	     6596825	      117093	   10.57
5880   	合庫金       	20120727	     6596825	      118413	   10.69
5880   	合庫金       	20120730	     6596825	      119732	   10.81
5880   	合庫金       	20120731	     6596825	      120392	   10.87
5880   	合庫金       	20120801	     6596825	      120721	   10.90
5880   	合庫金       	20120803	     8126666	      135715	   10.95
5880   	合庫金       	20120806	     8126666	      137340	   11.08
5880   	合庫金       	20120807	     8126666	      138559	   11.18
5880   	合庫金       	20120808	     8126666	      138559	   11.18
5880   	合庫金       	20120809	     8126666	      139372	   11.24
5880   	合庫金       	20120810	     8126666	      138965	   11.21
5880   	合庫金       	20120813	     8126666	      137340	   11.08
5880   	合庫金       	20120814	     8126666	      138153	   11.14
5880   	合庫金       	20120815	     8126666	      138153	   11.14
5880   	合庫金       	20120816	     8126666	      136934	   11.04
5880   	合庫金       	20120817	     8126666	      135308	   10.91
5880   	合庫金       	20120820	     8126666	      135308	   10.91
5880   	合庫金       	20120821	     8126666	      136121	   10.98
5880   	合庫金       	20120822	     8126666	      135715	   10.95
5880   	合庫金       	20120823	     8126666	      136121	   10.98
5880   	合庫金       	20120824	     8126666	      135308	   10.91
5880   	合庫金       	20120827	     8126666	      134902	   10.88
5880   	合庫金       	20120828	     8126666	      134089	   10.82
5880   	合庫金       	20120829	     8126666	      134089	   10.82
5880   	合庫金       	20120830	     8126666	      133277	   10.75
5880   	合庫金       	20120831	     8126666	      133683	   10.78
5880   	合庫金       	20120903	     8126666	      133683	   10.78
5880   	合庫金       	20120904	     8126666	      132870	   10.72
5880   	合庫金       	20120905	     8126666	      131651	   10.62
5880   	合庫金       	20120906	     8126666	      131245	   10.59
5880   	合庫金       	20120907	     8126666	      132464	   10.68
5880   	合庫金       	20120910	     8126666	      132464	   10.68
5880   	合庫金       	20120911	     8126666	      131651	   10.62
5880   	合庫金       	20120912	     8126666	      132464	   10.68
5880   	合庫金       	20120913	     8126666	      133277	   10.75
5880   	合庫金       	20120914	     8126666	      136527	   11.01
5880   	合庫金       	20120917	     8126666	      136121	   10.98
5880   	合庫金       	20120918	     8126666	      136527	   11.01
5880   	合庫金       	20120919	     8126666	      136527	   11.01
5880   	合庫金       	20120920	     8126666	      136121	   10.98
5880   	合庫金       	20120921	     8126666	      136527	   11.01
5880   	合庫金       	20120924	     8126666	      136527	   11.01
5880   	合庫金       	20120925	     8126666	      136121	   10.98
5880   	合庫金       	20120926	     8126666	      134902	   10.88
5880   	合庫金       	20120927	     8126666	      132058	   10.65
5880   	合庫金       	20120928	     8126666	      132058	   10.65
5880   	合庫金       	20121001	     8126666	      131245	   10.59
5880   	合庫金       	20121002	     8126666	      131651	   10.62
5880   	合庫金       	20121003	     8126666	      131245	   10.59
5880   	合庫金       	20121004	     8126666	      131651	   10.62
5880   	合庫金       	20121005	     8126666	      132464	   10.68
5880   	合庫金       	20121008	     8126666	      131651	   10.62
5880   	合庫金       	20121009	     8126666	      132058	   10.65
5880   	合庫金       	20121011	     8126666	      130432	   10.52
5880   	合庫金       	20121012	     8126666	      129620	   10.45
5880   	合庫金       	20121015	     8126666	      128807	   10.39
5880   	合庫金       	20121016	     8126666	      129620	   10.45
5880   	合庫金       	20121017	     8126666	      128807	   10.39
5880   	合庫金       	20121018	     8126666	      129213	   10.42
5880   	合庫金       	20121019	     8126666	      128807	   10.39
5880   	合庫金       	20121022	     8126666	      128401	   10.36
5880   	合庫金       	20121023	     8126666	      127182	   10.26
5880   	合庫金       	20121024	     8126666	      126369	   10.19
5880   	合庫金       	20121025	     8126666	      127182	   10.26
5880   	合庫金       	20121026	     8126666	      124744	   10.06
5880   	合庫金       	20121029	     8126666	      123118	    9.93
5880   	合庫金       	20121030	     8126666	      123931	   10.00
5880   	合庫金       	20121031	     8126666	      123525	    9.96
5880   	合庫金       	20121101	     8126666	      123525	    9.96
5880   	合庫金       	20121102	     8126666	      124744	   10.06
5880   	合庫金       	20121105	     8126666	      124337	   10.03
5880   	合庫金       	20121106	     8126666	      124337	   10.03
