靡ㄩ絏	虏嘿	るら	厨筍瞯
M2300  	筿摸计   	19990105	  -3.8847
M2300  	筿摸计   	19990106	   1.2881
M2300  	筿摸计   	19990107	   3.8061
M2300  	筿摸计   	19990108	   0.8484
M2300  	筿摸计   	19990111	   2.4166
M2300  	筿摸计   	19990112	   0.4065
M2300  	筿摸计   	19990113	  -0.2004
M2300  	筿摸计   	19990114	  -1.6437
M2300  	筿摸计   	19990115	   2.7513
M2300  	筿摸计   	19990116	  -0.0579
M2300  	筿摸计   	19990118	  -1.4659
M2300  	筿摸计   	19990119	  -1.0759
M2300  	筿摸计   	19990120	  -0.1572
M2300  	筿摸计   	19990121	   0.2042
M2300  	筿摸计   	19990122	  -2.1231
M2300  	筿摸计   	19990125	  -3.9436
M2300  	筿摸计   	19990126	   2.2718
M2300  	筿摸计   	19990127	   0.6933
M2300  	筿摸计   	19990128	  -1.5350
M2300  	筿摸计   	19990129	  -1.5590
M2300  	筿摸计   	19990130	   0.2670
M2300  	筿摸计   	19990201	  -3.2987
M2300  	筿摸计   	19990202	  -2.8466
M2300  	筿摸计   	19990203	   2.4497
M2300  	筿摸计   	19990204	  -3.2022
M2300  	筿摸计   	19990205	   1.3029
M2300  	筿摸计   	19990206	   3.5142
M2300  	筿摸计   	19990208	   0.9099
M2300  	筿摸计   	19990209	  -1.7165
M2300  	筿摸计   	19990210	  -0.4098
M2300  	筿摸计   	19990220	   4.1900
M2300  	筿摸计   	19990222	   2.0377
M2300  	筿摸计   	19990223	  -4.0688
M2300  	筿摸计   	19990224	   1.6553
M2300  	筿摸计   	19990225	   0.4014
M2300  	筿摸计   	19990226	   1.5679
M2300  	筿摸计   	19990301	   0.0221
M2300  	筿摸计   	19990302	  -1.8839
M2300  	筿摸计   	19990303	   1.7172
M2300  	筿摸计   	19990304	  -1.0191
M2300  	筿摸计   	19990305	  -0.2731
M2300  	筿摸计   	19990306	   0.7362
M2300  	筿摸计   	19990308	   1.4705
M2300  	筿摸计   	19990309	   1.8313
M2300  	筿摸计   	19990310	   0.4571
M2300  	筿摸计   	19990311	   0.0215
M2300  	筿摸计   	19990312	   0.7597
M2300  	筿摸计   	19990315	   3.8507
M2300  	筿摸计   	19990316	   1.4684
M2300  	筿摸计   	19990317	   1.8312
M2300  	筿摸计   	19990318	   3.0209
M2300  	筿摸计   	19990319	   0.6782
M2300  	筿摸计   	19990320	   0.5243
M2300  	筿摸计   	19990322	   1.0204
M2300  	筿摸计   	19990323	  -2.1143
M2300  	筿摸计   	19990324	  -0.0924
M2300  	筿摸计   	19990325	   0.1464
M2300  	筿摸计   	19990326	   0.6388
M2300  	筿摸计   	19990329	  -3.1470
M2300  	筿摸计   	19990330	   0.1935
M2300  	筿摸计   	19990331	  -0.8669
M2300  	筿摸计   	19990401	   1.2322
M2300  	筿摸计   	19990402	   1.3821
M2300  	筿摸计   	19990403	  -0.8443
M2300  	筿摸计   	19990406	   0.0976
M2300  	筿摸计   	19990407	   0.0546
M2300  	筿摸计   	19990408	   3.4047
M2300  	筿摸计   	19990409	   0.2338
M2300  	筿摸计   	19990412	   1.8024
M2300  	筿摸计   	19990413	   1.8814
M2300  	筿摸计   	19990414	  -0.2322
M2300  	筿摸计   	19990415	  -0.0400
M2300  	筿摸计   	19990416	  -2.6592
M2300  	筿摸计   	19990417	   1.1996
M2300  	筿摸计   	19990419	   0.8346
M2300  	筿摸计   	19990420	  -1.4430
M2300  	筿摸计   	19990421	  -1.2448
M2300  	筿摸计   	19990422	   0.6434
M2300  	筿摸计   	19990423	   1.2450
M2300  	筿摸计   	19990426	   1.7171
M2300  	筿摸计   	19990427	  -0.9258
M2300  	筿摸计   	19990428	  -0.8978
M2300  	筿摸计   	19990429	  -4.3483
M2300  	筿摸计   	19990430	   0.6610
M2300  	筿摸计   	19990503	  -1.1751
M2300  	筿摸计   	19990504	   2.0012
M2300  	筿摸计   	19990505	   0.3924
M2300  	筿摸计   	19990506	   0.9866
M2300  	筿摸计   	19990507	  -1.3828
M2300  	筿摸计   	19990510	  -0.3658
M2300  	筿摸计   	19990511	   0.1224
M2300  	筿摸计   	19990512	   0.4087
M2300  	筿摸计   	19990513	  -0.1255
M2300  	筿摸计   	19990514	   2.4949
M2300  	筿摸计   	19990515	   0.4497
M2300  	筿摸计   	19990517	   0.7325
M2300  	筿摸计   	19990518	   1.6013
M2300  	筿摸计   	19990519	   1.2001
M2300  	筿摸计   	19990520	  -0.5822
M2300  	筿摸计   	19990521	   0.9234
M2300  	筿摸计   	19990524	   1.9260
M2300  	筿摸计   	19990525	  -0.3318
M2300  	筿摸计   	19990526	  -0.1997
M2300  	筿摸计   	19990527	   1.0639
M2300  	筿摸计   	19990528	  -0.3057
M2300  	筿摸计   	19990529	   1.3522
M2300  	筿摸计   	19990531	  -0.5914
M2300  	筿摸计   	19990601	  -0.2421
M2300  	筿摸计   	19990602	   2.6318
M2300  	筿摸计   	19990603	   0.3446
M2300  	筿摸计   	19990604	   1.6430
M2300  	筿摸计   	19990605	   1.9974
M2300  	筿摸计   	19990607	   2.0038
M2300  	筿摸计   	19990608	   3.3016
M2300  	筿摸计   	19990609	   2.3824
M2300  	筿摸计   	19990610	  -0.1656
M2300  	筿摸计   	19990611	  -2.8404
M2300  	筿摸计   	19990614	   1.1545
M2300  	筿摸计   	19990615	   1.7795
M2300  	筿摸计   	19990616	   3.0476
M2300  	筿摸计   	19990617	   4.4522
M2300  	筿摸计   	19990621	   0.9242
M2300  	筿摸计   	19990622	   4.1180
M2300  	筿摸计   	19990623	  -1.8869
M2300  	筿摸计   	19990624	   2.1731
M2300  	筿摸计   	19990625	  -4.8946
M2300  	筿摸计   	19990628	   0.2208
M2300  	筿摸计   	19990629	   4.9092
M2300  	筿摸计   	19990630	   0.2712
M2300  	筿摸计   	19990702	   2.2247
M2300  	筿摸计   	19990703	  -0.7626
M2300  	筿摸计   	19990705	  -1.2024
M2300  	筿摸计   	19990706	  -1.1720
M2300  	筿摸计   	19990707	   0.3721
M2300  	筿摸计   	19990708	   2.4084
M2300  	筿摸计   	19990709	  -0.5521
M2300  	筿摸计   	19990712	  -0.1205
M2300  	筿摸计   	19990713	  -3.2382
M2300  	筿摸计   	19990714	  -5.1783
M2300  	筿摸计   	19990715	   0.0657
M2300  	筿摸计   	19990716	  -6.2943
M2300  	筿摸计   	19990717	   2.1699
M2300  	筿摸计   	19990719	   0.5071
M2300  	筿摸计   	19990720	   5.6716
M2300  	筿摸计   	19990721	   0.7302
M2300  	筿摸计   	19990722	  -1.6925
M2300  	筿摸计   	19990723	  -0.4226
M2300  	筿摸计   	19990726	  -2.2672
M2300  	筿摸计   	19990727	  -4.2870
M2300  	筿摸计   	19990728	   1.7386
M2300  	筿摸计   	19990729	  -1.8945
M2300  	筿摸计   	19990730	   1.1440
M2300  	筿摸计   	19990731	  -1.6951
M2300  	筿摸计   	19990802	  -2.9331
M2300  	筿摸计   	19990803	  -0.1264
M2300  	筿摸计   	19990804	  -1.4179
M2300  	筿摸计   	19990805	  -1.0177
M2300  	筿摸计   	19990806	  -0.8498
M2300  	筿摸计   	19990807	   4.7661
M2300  	筿摸计   	19990809	  -0.0905
M2300  	筿摸计   	19990810	   4.2971
M2300  	筿摸计   	19990811	   0.6412
M2300  	筿摸计   	19990812	   0.6580
M2300  	筿摸计   	19990813	   3.7890
M2300  	筿摸计   	19990816	   5.2609
M2300  	筿摸计   	19990817	   0.2355
M2300  	筿摸计   	19990818	  -2.1258
M2300  	筿摸计   	19990819	   0.9190
M2300  	筿摸计   	19990820	   2.3901
M2300  	筿摸计   	19990821	  -1.7307
M2300  	筿摸计   	19990823	  -0.2147
M2300  	筿摸计   	19990824	  -1.2556
M2300  	筿摸计   	19990825	   2.6728
M2300  	筿摸计   	19990826	  -0.4406
M2300  	筿摸计   	19990827	  -0.1619
M2300  	筿摸计   	19990830	   0.4892
M2300  	筿摸计   	19990831	   1.6460
M2300  	筿摸计   	19990901	   1.9660
M2300  	筿摸计   	19990902	  -0.4360
M2300  	筿摸计   	19990903	  -1.5482
M2300  	筿摸计   	19990904	   0.4898
M2300  	筿摸计   	19990906	   1.8573
M2300  	筿摸计   	19990907	  -3.0986
M2300  	筿摸计   	19990908	   0.9182
M2300  	筿摸计   	19990909	   0.3438
M2300  	筿摸计   	19990910	   0.5061
M2300  	筿摸计   	19990913	   0.2439
M2300  	筿摸计   	19990914	  -1.4572
M2300  	筿摸计   	19990915	  -1.5053
M2300  	筿摸计   	19990916	  -0.1725
M2300  	筿摸计   	19990917	  -0.6021
M2300  	筿摸计   	19990918	   1.7847
M2300  	筿摸计   	19990920	  -0.5338
M2300  	筿摸计   	19990927	  -3.2573
M2300  	筿摸计   	19990928	  -2.7513
M2300  	筿摸计   	19990929	   1.1636
M2300  	筿摸计   	19990930	   0.5469
M2300  	筿摸计   	19991001	   0.1738
M2300  	筿摸计   	19991002	  -1.9844
M2300  	筿摸计   	19991004	   0.0257
M2300  	筿摸计   	19991005	  -1.4046
M2300  	筿摸计   	19991006	   0.1911
M2300  	筿摸计   	19991007	   2.3582
M2300  	筿摸计   	19991008	  -0.8357
M2300  	筿摸计   	19991011	   1.5432
M2300  	筿摸计   	19991012	   3.9732
M2300  	筿摸计   	19991013	   0.0539
M2300  	筿摸计   	19991014	   1.1186
M2300  	筿摸计   	19991015	  -1.1009
M2300  	筿摸计   	19991016	  -0.2453
M2300  	筿摸计   	19991018	  -0.6538
M2300  	筿摸计   	19991019	  -0.6799
M2300  	筿摸计   	19991020	  -0.6544
M2300  	筿摸计   	19991021	  -0.1654
M2300  	筿摸计   	19991022	  -1.5240
M2300  	筿摸计   	19991025	   1.7494
M2300  	筿摸计   	19991026	   0.2314
M2300  	筿摸计   	19991027	   0.7285
M2300  	筿摸计   	19991028	  -0.0027
M2300  	筿摸计   	19991029	   1.4956
M2300  	筿摸计   	19991030	   2.9632
M2300  	筿摸计   	19991101	  -0.2481
M2300  	筿摸计   	19991102	  -1.2200
M2300  	筿摸计   	19991103	  -1.8977
M2300  	筿摸计   	19991104	  -0.6916
M2300  	筿摸计   	19991105	   0.7128
M2300  	筿摸计   	19991106	  -0.6375
M2300  	筿摸计   	19991108	  -0.2909
M2300  	筿摸计   	19991109	  -0.0682
M2300  	筿摸计   	19991110	   0.1337
M2300  	筿摸计   	19991111	   2.1416
M2300  	筿摸计   	19991115	   1.4912
M2300  	筿摸计   	19991116	   1.1723
M2300  	筿摸计   	19991117	   0.9015
M2300  	筿摸计   	19991118	   1.5577
M2300  	筿摸计   	19991119	   0.9558
M2300  	筿摸计   	19991120	   2.1320
M2300  	筿摸计   	19991122	   1.3155
M2300  	筿摸计   	19991123	  -0.1893
M2300  	筿摸计   	19991124	  -1.2692
M2300  	筿摸计   	19991125	   0.3275
M2300  	筿摸计   	19991126	  -5.1598
M2300  	筿摸计   	19991129	   2.4511
M2300  	筿摸计   	19991130	  -2.7840
M2300  	筿摸计   	19991201	   1.0629
M2300  	筿摸计   	19991202	  -0.3574
M2300  	筿摸计   	19991203	   1.8838
M2300  	筿摸计   	19991204	   0.6560
M2300  	筿摸计   	19991206	  -0.8530
M2300  	筿摸计   	19991207	  -0.7512
M2300  	筿摸计   	19991208	   0.0895
M2300  	筿摸计   	19991209	  -1.1676
M2300  	筿摸计   	19991210	  -0.1474
M2300  	筿摸计   	19991213	   2.9488
M2300  	筿摸计   	19991214	  -0.5859
M2300  	筿摸计   	19991215	   0.3466
M2300  	筿摸计   	19991216	  -0.6630
M2300  	筿摸计   	19991217	  -0.0888
M2300  	筿摸计   	19991218	   1.0744
M2300  	筿摸计   	19991220	  -0.3594
M2300  	筿摸计   	19991221	   2.2849
M2300  	筿摸计   	19991222	   2.0687
M2300  	筿摸计   	19991223	   1.1692
M2300  	筿摸计   	19991224	   2.5143
M2300  	筿摸计   	19991227	   3.8199
M2300  	筿摸计   	19991228	  -0.2109
M2300  	筿摸计   	20000104	   3.9457
M2300  	筿摸计   	20000105	   1.0512
M2300  	筿摸计   	20000106	  -0.2076
M2300  	筿摸计   	20000107	  -1.6880
M2300  	筿摸计   	20000110	   3.5540
M2300  	筿摸计   	20000111	  -2.0605
M2300  	筿摸计   	20000112	   3.5903
M2300  	筿摸计   	20000113	  -1.7942
M2300  	筿摸计   	20000114	  -0.6703
M2300  	筿摸计   	20000115	   2.7036
M2300  	筿摸计   	20000117	   0.3918
M2300  	筿摸计   	20000118	  -1.0199
M2300  	筿摸计   	20000119	  -1.7710
M2300  	筿摸计   	20000120	   0.2400
M2300  	筿摸计   	20000121	   1.3495
M2300  	筿摸计   	20000124	   0.4222
M2300  	筿摸计   	20000125	   0.1020
M2300  	筿摸计   	20000126	   3.0275
M2300  	筿摸计   	20000127	  -0.4703
M2300  	筿摸计   	20000128	  -0.8496
M2300  	筿摸计   	20000129	  -0.2107
M2300  	筿摸计   	20000131	   1.6560
M2300  	筿摸计   	20000201	   0.2661
M2300  	筿摸计   	20000209	   1.8981
M2300  	筿摸计   	20000210	  -0.2664
M2300  	筿摸计   	20000211	   1.2920
M2300  	筿摸计   	20000214	  -1.5880
M2300  	筿摸计   	20000215	   0.4486
M2300  	筿摸计   	20000216	   0.1857
M2300  	筿摸计   	20000217	   0.1282
M2300  	筿摸计   	20000218	  -0.8549
M2300  	筿摸计   	20000219	  -0.5821
M2300  	筿摸计   	20000221	  -4.1886
M2300  	筿摸计   	20000222	   0.0709
M2300  	筿摸计   	20000223	  -0.2960
M2300  	筿摸计   	20000224	   0.8926
M2300  	筿摸计   	20000225	  -0.2611
M2300  	筿摸计   	20000229	   0.5007
M2300  	筿摸计   	20000301	   2.1001
M2300  	筿摸计   	20000302	  -1.4293
M2300  	筿摸计   	20000303	   0.6839
M2300  	筿摸计   	20000304	   0.0428
M2300  	筿摸计   	20000306	  -1.2642
M2300  	筿摸计   	20000307	  -0.1508
M2300  	筿摸计   	20000308	   0.3206
M2300  	筿摸计   	20000309	   2.7709
M2300  	筿摸计   	20000310	  -1.8958
M2300  	筿摸计   	20000313	  -6.5681
M2300  	筿摸计   	20000314	   0.9630
M2300  	筿摸计   	20000315	  -2.3975
M2300  	筿摸计   	20000316	   0.6596
M2300  	筿摸计   	20000317	   0.4854
M2300  	筿摸计   	20000320	  -2.9401
M2300  	筿摸计   	20000321	   6.3141
M2300  	筿摸计   	20000322	   2.0918
M2300  	筿摸计   	20000323	   5.5902
M2300  	筿摸计   	20000324	   0.6475
M2300  	筿摸计   	20000327	   5.2170
M2300  	筿摸计   	20000328	   0.5648
M2300  	筿摸计   	20000329	  -0.3522
M2300  	筿摸计   	20000330	   1.5067
M2300  	筿摸计   	20000331	  -1.7152
M2300  	筿摸计   	20000401	   3.7495
M2300  	筿摸计   	20000405	   1.1645
M2300  	筿摸计   	20000406	  -3.4853
M2300  	筿摸计   	20000407	  -0.0534
M2300  	筿摸计   	20000408	   1.3278
M2300  	筿摸计   	20000410	   2.3372
M2300  	筿摸计   	20000411	  -1.3781
M2300  	筿摸计   	20000412	  -2.6021
M2300  	筿摸计   	20000413	  -3.2429
M2300  	筿摸计   	20000414	  -3.9267
M2300  	筿摸计   	20000415	  -5.4058
M2300  	筿摸计   	20000417	   2.4179
M2300  	筿摸计   	20000418	   4.0217
M2300  	筿摸计   	20000419	  -2.4650
M2300  	筿摸计   	20000420	   0.0445
M2300  	筿摸计   	20000421	  -0.2953
M2300  	筿摸计   	20000424	  -3.9840
M2300  	筿摸计   	20000425	   2.7042
M2300  	筿摸计   	20000426	  -3.8734
M2300  	筿摸计   	20000427	   0.9052
M2300  	筿摸计   	20000428	   4.3900
M2300  	筿摸计   	20000429	  -0.4734
M2300  	筿摸计   	20000502	  -1.5738
M2300  	筿摸计   	20000503	  -2.9366
M2300  	筿摸计   	20000504	  -1.5320
M2300  	筿摸计   	20000505	   3.7256
M2300  	筿摸计   	20000506	  -0.8117
