證券代碼	簡稱	年月日	報酬率％
Y2800  	金融類       	19990105	  -5.3539
Y2800  	金融類       	19990106	   1.6715
Y2800  	金融類       	19990107	   3.1269
Y2800  	金融類       	19990108	   0.2398
Y2800  	金融類       	19990111	  -2.6529
Y2800  	金融類       	19990112	  -0.9955
Y2800  	金融類       	19990113	  -1.1035
Y2800  	金融類       	19990114	  -0.5569
Y2800  	金融類       	19990115	   5.4832
Y2800  	金融類       	19990116	   1.9486
Y2800  	金融類       	19990118	  -2.4656
Y2800  	金融類       	19990119	   0.6947
Y2800  	金融類       	19990120	  -0.2982
Y2800  	金融類       	19990121	   1.1774
Y2800  	金融類       	19990122	  -1.5798
Y2800  	金融類       	19990125	  -3.1406
Y2800  	金融類       	19990126	   2.4446
Y2800  	金融類       	19990127	  -0.6982
Y2800  	金融類       	19990128	  -0.6775
Y2800  	金融類       	19990129	  -0.5447
Y2800  	金融類       	19990130	   0.1018
Y2800  	金融類       	19990201	  -2.1748
Y2800  	金融類       	19990202	  -1.3933
Y2800  	金融類       	19990203	  -1.0772
Y2800  	金融類       	19990204	  -5.1446
Y2800  	金融類       	19990205	  -1.4290
Y2800  	金融類       	19990206	   5.0183
Y2800  	金融類       	19990208	   2.3754
Y2800  	金融類       	19990209	  -1.1677
Y2800  	金融類       	19990210	   2.5032
Y2800  	金融類       	19990220	   6.7461
Y2800  	金融類       	19990222	   6.7531
Y2800  	金融類       	19990223	   2.5311
Y2800  	金融類       	19990224	   1.6055
Y2800  	金融類       	19990225	   0.0729
Y2800  	金融類       	19990226	   0.0270
Y2800  	金融類       	19990301	  -1.5561
Y2800  	金融類       	19990302	  -0.1169
Y2800  	金融類       	19990303	   4.2859
Y2800  	金融類       	19990304	  -0.0745
Y2800  	金融類       	19990305	  -0.7896
Y2800  	金融類       	19990306	   1.0417
Y2800  	金融類       	19990308	  -0.5137
Y2800  	金融類       	19990309	   0.3088
Y2800  	金融類       	19990310	  -0.7016
Y2800  	金融類       	19990311	  -1.7231
Y2800  	金融類       	19990312	   1.0308
Y2800  	金融類       	19990315	   1.8333
Y2800  	金融類       	19990316	  -0.0673
Y2800  	金融類       	19990317	   0.4825
Y2800  	金融類       	19990318	   0.5011
Y2800  	金融類       	19990319	   0.6223
Y2800  	金融類       	19990320	  -0.1557
Y2800  	金融類       	19990322	   0.3644
Y2800  	金融類       	19990323	  -2.0619
Y2800  	金融類       	19990324	  -1.8660
Y2800  	金融類       	19990325	   1.2942
Y2800  	金融類       	19990326	   0.3791
Y2800  	金融類       	19990329	  -1.2315
Y2800  	金融類       	19990330	   0.3122
Y2800  	金融類       	19990331	   0.4087
Y2800  	金融類       	19990401	   2.0370
Y2800  	金融類       	19990402	   5.3721
Y2800  	金融類       	19990403	  -1.6425
Y2800  	金融類       	19990406	  -1.0378
Y2800  	金融類       	19990407	  -0.1333
Y2800  	金融類       	19990408	   0.8583
Y2800  	金融類       	19990409	  -0.8368
Y2800  	金融類       	19990412	  -1.1150
Y2800  	金融類       	19990413	   0.6834
Y2800  	金融類       	19990414	   2.6378
Y2800  	金融類       	19990415	   2.3584
Y2800  	金融類       	19990416	   2.0343
Y2800  	金融類       	19990417	   0.2097
Y2800  	金融類       	19990419	  -0.3096
Y2800  	金融類       	19990420	   0.5245
Y2800  	金融類       	19990421	  -2.5898
Y2800  	金融類       	19990422	   0.9288
Y2800  	金融類       	19990423	   0.8706
Y2800  	金融類       	19990426	  -1.5481
Y2800  	金融類       	19990427	  -1.5418
Y2800  	金融類       	19990428	  -0.7485
Y2800  	金融類       	19990429	  -2.1420
Y2800  	金融類       	19990430	   1.3861
Y2800  	金融類       	19990503	   0.5578
Y2800  	金融類       	19990504	   4.3974
Y2800  	金融類       	19990505	  -1.4672
Y2800  	金融類       	19990506	  -0.4733
Y2800  	金融類       	19990507	  -0.8459
Y2800  	金融類       	19990510	   1.3825
Y2800  	金融類       	19990511	  -0.0821
Y2800  	金融類       	19990512	  -0.3486
Y2800  	金融類       	19990513	   0.3717
Y2800  	金融類       	19990514	   3.8994
Y2800  	金融類       	19990515	  -0.9638
Y2800  	金融類       	19990517	   0.3732
Y2800  	金融類       	19990518	  -0.1691
Y2800  	金融類       	19990519	   0.4841
Y2800  	金融類       	19990520	  -1.5361
Y2800  	金融類       	19990521	  -0.4624
Y2800  	金融類       	19990524	  -1.2684
Y2800  	金融類       	19990525	  -3.8967
Y2800  	金融類       	19990526	   0.2832
Y2800  	金融類       	19990527	  -0.8198
Y2800  	金融類       	19990528	  -1.2290
Y2800  	金融類       	19990529	   0.7586
Y2800  	金融類       	19990531	  -1.6139
Y2800  	金融類       	19990601	   1.3658
Y2800  	金融類       	19990602	   0.6458
Y2800  	金融類       	19990603	   2.5254
Y2800  	金融類       	19990604	  -1.6536
Y2800  	金融類       	19990605	   0.2744
Y2800  	金融類       	19990607	   3.5890
Y2800  	金融類       	19990608	  -1.2510
Y2800  	金融類       	19990609	   0.1041
Y2800  	金融類       	19990610	   2.9322
Y2800  	金融類       	19990611	   2.0872
Y2800  	金融類       	19990614	  -1.5761
Y2800  	金融類       	19990615	  -1.6555
Y2800  	金融類       	19990616	   0.9216
Y2800  	金融類       	19990617	   3.2150
Y2800  	金融類       	19990621	   2.5521
Y2800  	金融類       	19990622	   0.6556
Y2800  	金融類       	19990623	  -1.1772
Y2800  	金融類       	19990624	  -0.4133
Y2800  	金融類       	19990625	  -4.5098
Y2800  	金融類       	19990628	   0.5635
Y2800  	金融類       	19990629	   2.1006
Y2800  	金融類       	19990630	  -1.6756
Y2800  	金融類       	19990702	  -0.1276
Y2800  	金融類       	19990703	   0.1701
Y2800  	金融類       	19990705	   0.5477
Y2800  	金融類       	19990706	  -2.3214
Y2800  	金融類       	19990707	  -0.5171
Y2800  	金融類       	19990708	   1.0756
Y2800  	金融類       	19990709	  -0.3360
Y2800  	金融類       	19990712	  -1.7951
Y2800  	金融類       	19990713	  -3.1766
Y2800  	金融類       	19990714	  -1.9347
Y2800  	金融類       	19990715	   1.4818
Y2800  	金融類       	19990716	  -6.6607
Y2800  	金融類       	19990717	  -3.2305
Y2800  	金融類       	19990719	   0.5162
Y2800  	金融類       	19990720	   5.4254
Y2800  	金融類       	19990721	  -1.8134
Y2800  	金融類       	19990722	  -1.4151
Y2800  	金融類       	19990723	   1.1426
Y2800  	金融類       	19990726	  -1.8218
Y2800  	金融類       	19990727	  -1.2629
Y2800  	金融類       	19990728	   1.2208
Y2800  	金融類       	19990729	  -0.3390
Y2800  	金融類       	19990730	   0.9452
Y2800  	金融類       	19990731	  -1.6366
Y2800  	金融類       	19990802	  -1.5494
Y2800  	金融類       	19990803	  -0.8535
Y2800  	金融類       	19990804	  -0.9081
Y2800  	金融類       	19990805	  -3.9703
Y2800  	金融類       	19990806	  -2.8948
Y2800  	金融類       	19990807	   2.5921
Y2800  	金融類       	19990809	  -1.2593
Y2800  	金融類       	19990810	   3.9817
Y2800  	金融類       	19990811	  -2.3131
Y2800  	金融類       	19990812	   1.0586
Y2800  	金融類       	19990813	   5.5190
Y2800  	金融類       	19990816	   6.4786
Y2800  	金融類       	19990817	   2.2589
Y2800  	金融類       	19990818	  -0.8226
Y2800  	金融類       	19990819	  -1.7798
Y2800  	金融類       	19990820	   1.1338
Y2800  	金融類       	19990821	   2.7641
Y2800  	金融類       	19990823	  -0.7795
Y2800  	金融類       	19990824	  -2.2323
Y2800  	金融類       	19990825	   0.8987
Y2800  	金融類       	19990826	  -0.0821
Y2800  	金融類       	19990827	  -1.2748
Y2800  	金融類       	19990830	  -0.3796
Y2800  	金融類       	19990831	   0.4285
Y2800  	金融類       	19990901	   1.7524
Y2800  	金融類       	19990902	  -0.9334
Y2800  	金融類       	19990903	  -2.1956
Y2800  	金融類       	19990904	  -1.1971
Y2800  	金融類       	19990906	  -0.0621
Y2800  	金融類       	19990907	  -1.9783
Y2800  	金融類       	19990908	  -0.4086
Y2800  	金融類       	19990909	   1.3194
Y2800  	金融類       	19990910	   2.9929
Y2800  	金融類       	19990913	  -1.4031
Y2800  	金融類       	19990914	  -0.5206
Y2800  	金融類       	19990915	  -1.2773
Y2800  	金融類       	19990916	   0.0748
