證券代碼	簡稱	年月日	收盤價(元)
0050   	元大台灣50   	20030630	   22.82
0050   	元大台灣50   	20030701	   23.42
0050   	元大台灣50   	20030702	   23.81
0050   	元大台灣50   	20030703	   24.00
0050   	元大台灣50   	20030704	   24.16
0050   	元大台灣50   	20030707	   25.23
0050   	元大台灣50   	20030708	   25.35
0050   	元大台灣50   	20030709	   25.37
0050   	元大台灣50   	20030710	   24.65
0050   	元大台灣50   	20030711	   24.56
0050   	元大台灣50   	20030714	   25.02
0050   	元大台灣50   	20030715	   24.74
0050   	元大台灣50   	20030716	   25.14
0050   	元大台灣50   	20030717	   24.50
0050   	元大台灣50   	20030718	   24.57
0050   	元大台灣50   	20030721	   24.25
0050   	元大台灣50   	20030722	   24.61
0050   	元大台灣50   	20030723	   24.65
0050   	元大台灣50   	20030724	   25.38
0050   	元大台灣50   	20030725	   25.38
0050   	元大台灣50   	20030728	   25.59
0050   	元大台灣50   	20030729	   25.25
0050   	元大台灣50   	20030730	   24.99
0050   	元大台灣50   	20030731	   25.15
0050   	元大台灣50   	20030801	   25.60
0050   	元大台灣50   	20030804	   25.48
0050   	元大台灣50   	20030805	   24.93
0050   	元大台灣50   	20030806	   24.76
0050   	元大台灣50   	20030807	   25.05
0050   	元大台灣50   	20030808	   24.73
0050   	元大台灣50   	20030811	   24.68
0050   	元大台灣50   	20030812	   24.96
0050   	元大台灣50   	20030813	   26.13
0050   	元大台灣50   	20030814	   26.03
0050   	元大台灣50   	20030815	   26.29
0050   	元大台灣50   	20030818	   26.34
0050   	元大台灣50   	20030819	   26.46
0050   	元大台灣50   	20030820	   26.58
0050   	元大台灣50   	20030821	   27.08
0050   	元大台灣50   	20030822	   27.10
0050   	元大台灣50   	20030825	   27.30
0050   	元大台灣50   	20030826	   26.75
0050   	元大台灣50   	20030827	   26.85
0050   	元大台灣50   	20030828	   26.81
0050   	元大台灣50   	20030829	   27.65
0050   	元大台灣50   	20030901	   27.79
0050   	元大台灣50   	20030902	   28.02
0050   	元大台灣50   	20030903	   27.70
0050   	元大台灣50   	20030904	   27.39
0050   	元大台灣50   	20030905	   27.71
0050   	元大台灣50   	20030908	   28.28
0050   	元大台灣50   	20030909	   28.13
0050   	元大台灣50   	20030910	   27.76
0050   	元大台灣50   	20030912	   27.98
0050   	元大台灣50   	20030915	   27.70
0050   	元大台灣50   	20030916	   27.97
0050   	元大台灣50   	20030917	   28.18
0050   	元大台灣50   	20030918	   28.11
0050   	元大台灣50   	20030919	   28.19
0050   	元大台灣50   	20030922	   27.70
0050   	元大台灣50   	20030923	   27.57
0050   	元大台灣50   	20030924	   27.60
0050   	元大台灣50   	20030925	   27.60
0050   	元大台灣50   	20030926	   27.60
0050   	元大台灣50   	20030929	   27.52
0050   	元大台灣50   	20030930	   27.51
0050   	元大台灣50   	20031001	   27.18
0050   	元大台灣50   	20031002	   27.73
0050   	元大台灣50   	20031003	   27.89
0050   	元大台灣50   	20031006	   28.46
0050   	元大台灣50   	20031007	   28.48
0050   	元大台灣50   	20031008	   28.31
0050   	元大台灣50   	20031009	   28.40
0050   	元大台灣50   	20031013	   29.04
0050   	元大台灣50   	20031014	   28.93
0050   	元大台灣50   	20031015	   28.96
0050   	元大台灣50   	20031016	   29.36
0050   	元大台灣50   	20031017	   29.41
0050   	元大台灣50   	20031020	   29.54
0050   	元大台灣50   	20031021	   29.42
0050   	元大台灣50   	20031022	   29.42
0050   	元大台灣50   	20031023	   28.99
0050   	元大台灣50   	20031024	   28.90
0050   	元大台灣50   	20031027	   28.93
0050   	元大台灣50   	20031028	   29.45
0050   	元大台灣50   	20031029	   29.54
0050   	元大台灣50   	20031030	   29.64
0050   	元大台灣50   	20031031	   29.54
0050   	元大台灣50   	20031103	   29.54
0050   	元大台灣50   	20031104	   29.54
0050   	元大台灣50   	20031105	   29.81
0050   	元大台灣50   	20031106	   29.30
0050   	元大台灣50   	20031107	   29.41
0050   	元大台灣50   	20031110	   29.24
0050   	元大台灣50   	20031111	   29.04
0050   	元大台灣50   	20031112	   28.94
0050   	元大台灣50   	20031113	   29.14
0050   	元大台灣50   	20031114	   29.26
0050   	元大台灣50   	20031117	   28.74
0050   	元大台灣50   	20031118	   28.68
0050   	元大台灣50   	20031119	   28.30
0050   	元大台灣50   	20031120	   28.06
0050   	元大台灣50   	20031121	   28.05
0050   	元大台灣50   	20031124	   28.05
0050   	元大台灣50   	20031125	   28.28
0050   	元大台灣50   	20031126	   28.31
0050   	元大台灣50   	20031127	   27.99
0050   	元大台灣50   	20031128	   27.70
0050   	元大台灣50   	20031201	   28.43
0050   	元大台灣50   	20031202	   28.40
0050   	元大台灣50   	20031203	   28.35
0050   	元大台灣50   	20031204	   28.43
0050   	元大台灣50   	20031205	   28.48
0050   	元大台灣50   	20031208	   28.50
0050   	元大台灣50   	20031209	   28.31
0050   	元大台灣50   	20031210	   28.15
0050   	元大台灣50   	20031211	   28.19
0050   	元大台灣50   	20031212	   28.37
0050   	元大台灣50   	20031215	   28.59
0050   	元大台灣50   	20031216	   28.42
0050   	元大台灣50   	20031217	   27.88
0050   	元大台灣50   	20031218	   27.94
0050   	元大台灣50   	20031219	   27.79
0050   	元大台灣50   	20031222	   28.18
0050   	元大台灣50   	20031223	   28.19
0050   	元大台灣50   	20031224	   28.25
0050   	元大台灣50   	20031225	   28.19
0050   	元大台灣50   	20031226	   28.16
0050   	元大台灣50   	20031229	   27.95
0050   	元大台灣50   	20031230	   28.25
0050   	元大台灣50   	20031231	   28.26
0050   	元大台灣50   	20040102	   29.11
0050   	元大台灣50   	20040105	   29.42
0050   	元大台灣50   	20040106	   29.42
0050   	元大台灣50   	20040107	   29.42
0050   	元大台灣50   	20040108	   29.59
0050   	元大台灣50   	20040109	   29.79
0050   	元大台灣50   	20040112	   29.87
0050   	元大台灣50   	20040113	   29.84
0050   	元大台灣50   	20040114	   30.13
0050   	元大台灣50   	20040115	   30.12
0050   	元大台灣50   	20040116	   30.10
0050   	元大台灣50   	20040127	   30.22
0050   	元大台灣50   	20040128	   30.18
0050   	元大台灣50   	20040129	   29.91
0050   	元大台灣50   	20040130	   29.86
0050   	元大台灣50   	20040202	   29.73
0050   	元大台灣50   	20040203	   29.33
0050   	元大台灣50   	20040204	   29.20
0050   	元大台灣50   	20040205	   29.20
0050   	元大台灣50   	20040206	   29.49
0050   	元大台灣50   	20040209	   29.85
0050   	元大台灣50   	20040210	   29.87
0050   	元大台灣50   	20040211	   29.77
0050   	元大台灣50   	20040212	   29.90
0050   	元大台灣50   	20040213	   30.44
0050   	元大台灣50   	20040216	   30.28
0050   	元大台灣50   	20040217	   30.46
0050   	元大台灣50   	20040218	   30.48
0050   	元大台灣50   	20040219	   30.77
0050   	元大台灣50   	20040220	   30.77
0050   	元大台灣50   	20040223	   30.50
0050   	元大台灣50   	20040224	   30.43
0050   	元大台灣50   	20040225	   30.53
0050   	元大台灣50   	20040226	   30.65
0050   	元大台灣50   	20040227	   31.11
0050   	元大台灣50   	20040301	   31.97
0050   	元大台灣50   	20040302	   32.50
0050   	元大台灣50   	20040303	   32.43
0050   	元大台灣50   	20040304	   32.71
0050   	元大台灣50   	20040305	   32.31
0050   	元大台灣50   	20040308	   31.91
0050   	元大台灣50   	20040309	   32.00
0050   	元大台灣50   	20040310	   31.60
0050   	元大台灣50   	20040311	   31.63
0050   	元大台灣50   	20040312	   31.05
0050   	元大台灣50   	20040315	   30.56
0050   	元大台灣50   	20040316	   30.16
0050   	元大台灣50   	20040317	   30.21
0050   	元大台灣50   	20040318	   31.20
0050   	元大台灣50   	20040319	   31.39
0050   	元大台灣50   	20040322	   29.19
0050   	元大台灣50   	20040323	   28.56
0050   	元大台灣50   	20040324	   28.90
0050   	元大台灣50   	20040325	   28.80
0050   	元大台灣50   	20040326	   28.80
0050   	元大台灣50   	20040329	   30.22
0050   	元大台灣50   	20040330	   30.34
